0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,label
1.170980633,5.672132808,0.6,80,76,D,a21,1.107142857,0.692857143,5,0.702956509,1024.1,1025.9,0,0.6mm,32,13.9,12.2,D,D,28,7,2011,40,15.42078734,1
2.595787649,23.20328948,6.4,43,64,N,a9,1.7,0.614285714,11,0.223911235,1005.3,1008.1,0,0.0mm,50,18.6,16.5,N,I,61,43,2012,110,240.4968834,0
0.972793541,7.127348439,0.4,63,100,C,a4,1.242857143,0.428571429,6,0.180847771,1020.8,1026.5,0,0.0mm,,16.5,9.6,M,,15,7,2012,0,224.2829032,0
1.891666717,17.88150661,4.2,65,71,K,a15,1.05,0.671428571,10,0.181288824,1021.9,1019.8,0,0.8mm,88,14.2,11.4,K,D,39,24,2010,130,86.81082963,0
1.965880734,13.93696943,3.2,40,62,F,a1,1.95,1.085714286,3,0.237346662,1005.3,1007.8,0,0.0mm,112,26.6,23.4,C,,30,20,2011,0,120.6429223,0
2.238301083,18.19271828,4.8,59,56,B,a28,1.364285714,0.657142857,11,0.264140228,1017.7,1019.7,0,0.0mm,82,17.5,14.9,L,A,37,17,2012,110,402.39608,0
2.509752852,20.03936239,4.8,87,91,M,a18,1.514285714,1.271428571,5,0.479375241,1017.3,1021.3,1,4.2mm,9,20.3,19.4,F,K,13,7,2010,40,245.5189843,1
2.222053194,20.3163115,5,70,86,E,a12,1.678571429,1.5,12,0.015658269,1003.5,1003.5,1,2.6mm,6,22.2,21.2,N,E,65,20,2010,370,535.8546692,1
1.80937013,15.33124865,3.6,37,68,O,a29,1.364285714,0.307142857,5,0.246408853,1018.8,1022.4,0,0.0mm,99,18.5,11.3,O,B,43,20,2011,90,13.27400891,0
3.445552295,41.99730639,12.2,36,36,D,a26,2.364285714,1.314285714,1,0.28088158,1006.3,1006.9,0,0.0mm,132,30.1,27.6,K,P,50,30,2010,90,352.879837,0
1.064046378,7.260502147,0.6,50,52,D,a1,1.228571429,0.65,8,0.054589248,1011.2,1013.4,0,0.4mm,9,17.1,15.2,I,D,31,7,2010,130,216.2207422,0
1.691477992,10.877962,1.8,45,65,I,a0,1.271428571,0.435714286,7,0.297668055,1018.4,1020.7,0,0.0mm,,15.9,11.5,I,K,37,19,2011,70,16.07439165,0
1.035512417,6.897335724,0.6,66,83,E,a22,1.05,0.642857143,7,0.229989115,1006.2,1008.6,0,0.0mm,21,13.5,10.7,E,E,33,15,2012,170,50.88086883,0
2.499729017,20.38825196,5.4,45,64,P,a19,1.785714286,1.128571429,6,0.149211274,1016.3,1018.9,0,0.0mm,106,23.2,21.3,P,L,41,31,2012,200,245.5525575,0
2.426941246,23.90291494,6.6,39,52,E,a12,2.064285714,1.15,4,0.298954241,1017.4,1020.8,0,0.2mm,88,27.5,22.4,E,E,57,33,2010,370,493.0726426,0
1.885800969,13.38121624,2.4,52,69,,a25,1.607142857,0.535714286,8,0.306532992,1013.3,1018.9,0,0.0mm,107,21.8,12.2,H,A,,15,2010,70,40.36395979,0
2.098801328,15.65536367,3.4,54,54,L,a3,1.271428571,0.942857143,8,0.335282291,1028.8,1030.7,0,0.4mm,101,16.5,16,O,L,31,19,2010,150,345.2345915,0
2.492146245,19.30270493,5,63,66,P,a6,1.371428571,1.028571429,9,0.093103978,1022.4,1025,0,0.2mm,11,17.2,16.5,F,P,31,17,2010,170,236.5749949,0
0.878007706,6.526127362,0.6,62,87,,a25,1.285714286,0.807142857,4,0.091854465,1023.9,1025.7,0,1.0mm,64,17.2,13.8,M,,,13,2012,0,177.1251745,0
3.55928406,43.87897402,13,41,29,N,a14,2.285714286,1.535714286,2,0.253692958,1001.3,994.8,0,0.0mm,100,22.3,29.4,I,G,69,24,2012,430,696.9760548,0
